"Lat","Lon","source","grid_id","X","Y"
23.970348,120.3379,"gbif",38782,13395953.7511319,2749795.30013512
23.396057,120.195816,"gbif",27323,13380137.032602,2679985.821009
22.062916,120.70705,"gbif",761,13437047.3411582,2519080.72942865
23.588303,120.147644,"gbif",31002,13374774.5500915,2703320.68368487
23.468002,120.16669,"gbif",28549,13376894.7411132,2688714.53826221
27.881645,120.87222,"gbif",117743,13455433.9814525,3234060.11002863
22.903402,120.18144,"gbif",17507,13378536.7036024,2620340.91605529
23.37862,120.17436,"gbif",26914,13377748.5616075,2677870.99384351
23.26922,120.10154,"gbif",24865,13369642.276288,2664608.87407394
23.107937,120.089806,"gbif",21593,13368336.053383,2645077.02136362
23.360529,120.14344,"gbif",26503,13374306.5629522,2675677.14107147
23.25264,120.16798,"gbif",24459,13377038.3432563,2662599.89917146
23.152403,120.13519,"gbif",22413,13373388.1771532,2650459.63674014
23.943762,120.31861,"gbif",37963,13393806.3981545,2746556.76009542
23.868729,120.28243,"gbif",36734,13389778.8589776,2737420.30553321
23.277393,120.16547,"gbif",24868,13376758.9313344,2665599.27678511
22.70874,121.103714,"gbif",13867,13481203.7756542,2596833.46362902
28.9484,116.35697,"gbif",139628,12952798.6506482,3369080.1489777
23.01492,120.18128,"gbif",19552,13378518.8924838,2633823.05894786
23.813555,120.23807,"gbif",35505,13384840.726366,2730705.37644178
26.8269,120.06137,"gbif",96439,13365170.5723428,3101861.78720775
23.205599,120.129326,"gbif",23640,13372735.3996592,2656901.36736264
25.167297,121.41681,"gbif",62552,13516057.4629436,2896307.32240399
22.514433,114.03191,"gbif",9462,12693974.1553844,2573402.18956022
23.495998,120.175446,"gbif",29368,13377869.4545745,2692112.43452972
23.040167,120.17058,"gbif",20369,13377327.7739323,2636876.88005601
24.953508,118.67512,"gbif",58340,13210853.9282306,2870035.20917533
23.245632,120.13636,"gbif",24049,13373518.4209574,2661750.82494282
35.309902,119.44555,"gbif",276780,13296617.8035225,4206075.7460433
23.044548,120.079666,"gbif",20365,13367207.2737464,2637406.85435063
23.340021,120.150764,"gbif",26094,13375121.8669028,2673190.54620931
23.03609,120.17585,"gbif",19961,13377914.4276488,2636383.69645137
23.27643,120.14985,"gbif",24867,13375020.1208882,2665482.5774552
23.451384,120.19255,"gbif",28141,13379773.4631451,2686697.93964646
23.073122,120.06793,"gbif",20774,13365900.8282024,2640863.90501758
30.241926,119.75857,"gbif",167182,13331463.0305306,3534685.2341204
23.202908,120.104836,"gbif",23229,13370009.1853296,2656575.44116918
23.323431,120.21236,"gbif",25688,13381978.7022577,2671179.28981741
23.116108,120.076096,"gbif",21592,13366809.8631642,2646065.98824433
30.898304,121.942055,"gbif",181185,13574527.4688854,3619549.0126227
23.430092,121.35621,"gbif",27784,13509311.5018016,2684114.52067178
23.229233,120.212036,"gbif",24052,13381942.6347427,2659764.13161755
23.157394,120.091995,"gbif",22411,13368579.7317484,2651063.90941113
24.846117,121.8149,"gbif",56435,13560372.6390335,2856855.36829459
22.656908,120.428696,"gbif",12610,13406061.1156179,2590579.85851221
23.302626,120.12526,"gbif",25275,13372282.7746096,2668657.39092604
22.444395,114.054184,"gbif",8236,12696453.6857223,2564964.47097571
29.1863,116.01849,"gbif",144929,12915119.2294045,3399379.28666035
23.084633,120.238075,"gbif",21190,13384841.2829634,2642256.78101538
31.45817,120.34697,"gbif",192975,13396963.4189134,3692395.28565748
22.45653,120.47035,"gbif",8522,13410698.0176874,2566426.11058966
22.818907,120.22567,"gbif",15873,13383460.3646801,2610133.14394948
23.221363,120.22315,"gbif",23644,13383179.8395633,2658810.7896402
22.85919,115.54756,"gbif",16483,12862695.5416052,2614998.90874604
23.713255,120.18231,"gbif",33458,13378633.5515594,2718505.70779825
23.49202,120.140915,"gbif",28957,13374025.481238,2691629.577608
23.557175,120.17437,"gbif",30595,13377749.6748025,2699540.04824539
23.40659,120.19628,"gbif",27324,13380188.6848457,2681263.43910759
23.827757,120.256775,"gbif",35915,13386922.9574413,2732433.55200454
23.332966,120.213135,"gbif",26097,13382064.9748631,2672335.21630495
23.31923,120.195984,"gbif",25687,13380155.7342765,2670670.02959839
24.426397,118.30398,"gbif",47689,13169538.8124176,2805453.1917229
23.291693,120.18309,"gbif",25278,13378720.3807622,2667332.29450562
22.413616,120.545105,"gbif",7707,13419019.7062217,2561257.76730652
23.277708,120.21412,"gbif",24870,13382174.6245615,2665637.44964627
