"Lat","Lon","source","X","Y"
44.46018,85.96645,"zggn",9569741.43930541,5536934.47806479
44.31672,86.08833,"zggn",9583309.0588433,5514586.87102015
39.20971,118.84343,"zggn",13229590.1117261,4751755.40292577
44.02902,114.95671,"zggn",12796922.42047,5469934.19399691
38.74615,105.3929,"zggn",11732283.9612264,4685374.69299564
43.99473,120.47255,"zggn",13410942.9205672,5464626.67490181
43.99473,120.47255,"zggn",13410942.9205672,5464626.67490181
44.02902,114.95671,"zggn",12796922.42047,5469934.19399691
43.48499,115.08599,"zggn",12811313.8042398,5386086.05122753
40.98042,121.79027,"zggn",13557630.8399753,5009454.04714645
48.15479,87.11133,"zggn",9697188.89792481,6132645.11717229
48.15479,87.11133,"zggn",9697188.89792481,6132645.11717229
37.14365,97.56119,"zggn",10860461.9919858,4459148.70413882
37.14365,97.56119,"zggn",10860461.9919858,4459148.70413882
47.2472,87.40281,"zggn",9729636.30310124,5982517.16089335
44.18541,87.91257,"zggn",9786382.52672802,5494179.78371439
44.18541,87.91257,"zggn",9786382.52672802,5494179.78371439
44.3811,87.8904,"zggn",9783914.57361713,5524608.94796447
44.42932,87.87428,"zggn",9782120.10342554,5532122.60735867
24.56566,118.3267,"zggn",13172067.9912484,2822489.30356767
44.32333,120.23079,"zggn",13384030.320473,5515615.3472003
44.32333,120.23079,"zggn",13384030.320473,5515615.3472003
44.32333,120.23079,"zggn",13384030.320473,5515615.3472003
43.88175,120.07433,"zggn",13366613.2729435,5447160.92209674
44.32333,120.23079,"zggn",13384030.320473,5515615.3472003
44.32333,120.23079,"zggn",13384030.320473,5515615.3472003
45.06008,122.36409,"zggn",13621508.1901823,5630984.81677015
47.69441,87.57744,"zggn",9749076.02577847,6056165.289748
44.30826,86.04187,"zggn",9578137.15530104,5513270.71500007
44.12277,87.55884,"zggn",9747005.48324971,5484460.82180473
28.75362,116.32213,"zggn",12948920.279589,3344324.59937154
44.49605,84.93304,"zggn",9454702.76432474,5542530.73443588
23.28202,116.72875,"zggn",12994185.0109353,2666160.00277901
40.55086,122.36191,"zggn",13621265.5136924,4946317.64093204
48.13122,87.13749,"zggn",9700101.01580397,6128712.99688765
44.77692,84.61832,"zggn",9419668.29418228,5586470.20889524
47.02593,87.28961,"zggn",9717034.93674344,5946307.53591943
46.12419,85.67608,"zggn",9537417.59876377,5800273.13878061
