E,N,Season,ID,Resource,,,Row Labels,Count of Resource
13461186.97,3876311.947,wintering,433,GBIF,,,,
13462471.6,3879439.802,wintering,434,GBIF,,,,
13466282.07,3864264.226,wintering,435,CBRC,,,,
13476593.59,3269161.146,wintering,436,GPS,,,,
13475168.7,3838044.455,wintering,437,CBRC,,,,
13479634.84,2596929.521,wintering,438,GBIF,,,,
13516145.74,2893887.828,wintering,439,GBIF,,,,
13525518.51,3392312.147,wintering,440,GPS,,,,
13525441.7,3395897.504,wintering,441,GPS,,,,
13529314.5,3398179.491,wintering,442,GPS,,,,
13531352.76,3406872.534,wintering,443,GPS,,,,
13531596.55,3408389.563,wintering,444,GPS,,,,
13532647.41,3406679.888,wintering,445,GPS,,,,
13560768.94,2834032.997,wintering,446,GBIF,,,,
13560372.64,2856855.368,wintering,447,GBIF,,,,
13563028.72,3710398.013,wintering,448,GBIF,,,,
13574527.47,3619549.013,wintering,449,GBIF,,,,
13577996.74,3617324.197,wintering,450,GBIF,,,,
13041383.36,4693566.448,Breeding,451,GPS,,,,
13058748.09,4677593.985,Breeding,452,GBIF,,,,
13065911.5,4689963.092,Breeding,453,GPS,,,,
13065947.12,4690001.647,Breeding,454,GPS,,,,
13067357.54,4694362.129,Breeding,455,GPS,,,,
13069947.94,4667316.694,Breeding,456,GPS,,,,
13069421.4,4667588.831,Breeding,457,GPS,,,,
13069394.69,4692498.019,Breeding,458,GPS,,,,
13069907.87,4693235.052,Breeding,459,GPS,,,,
13070324.2,4667310.995,Breeding,460,GPS,,,,
13070301.94,4667519.015,Breeding,461,GPS,,,,
13071488.6,4670051.22,Breeding,462,GPS,,,,
13072004.01,4679988.031,Breeding,463,GPS,,,,
13070374.3,4691886.723,Breeding,464,GPS,,,,
13070332,4693119.351,Breeding,465,GPS,,,,
13072941.32,4665446.124,Breeding,466,GPS,,,,
13073832.99,4669613.704,Breeding,467,GPS,,,,
13073773.99,4670752.425,Breeding,468,GPS,,,,
13074886.08,4676937.09,Breeding,469,GPS,,,,
13074949.53,4682134.079,Breeding,470,GBIF,,,,
13074931.72,4689727.483,Breeding,471,GPS,,,,
13074388.48,4690295.81,Breeding,472,GPS,,,,
13077380.75,4662252.841,Breeding,473,GPS,,,,
13077311.73,4667454.899,Breeding,474,GPS,,,,
13076867.56,4668155.926,Breeding,475,GPS,,,,
13076092.78,4670227.942,Breeding,476,GPS,,,,
13077139.18,4677436.246,Breeding,477,GPS,,,,
13079798.6,4656592.272,Breeding,478,GPS,,,,
13079971.15,4661395.582,Breeding,479,GPS,,,,
13079053.88,4664897.697,Breeding,480,GPS,,,,
13077512.1,4666062.961,Breeding,481,GPS,,,,
13079539.23,4672374.504,Breeding,482,GPS,,,,
13078728.82,4673827.181,Breeding,483,GPS,,,,
13079524.76,4677249.416,Breeding,484,GPS,,,,
13078230.11,4681557.361,Breeding,485,GPS,,,,
13078534.02,4682541.882,Breeding,486,GPS,,,,
13078038.64,4686716.45,Breeding,487,GPS,,,,
13080517.73,4659096.147,Breeding,488,GPS,,,,
13081301.42,4661761.546,Breeding,489,GPS,,,,
13080414.2,4663171.413,Breeding,490,GPS,,,,
13080421.99,4665316.493,Breeding,491,GPS,,,,
13080081.36,4674410.306,Breeding,492,GPS,,,,
13080005.66,4676736.008,Breeding,493,GPS,,,,
13084181.25,4659232.817,Breeding,494,GPS,,,,
13082652.84,4663108.748,Breeding,495,GPS,,,,
13083788.3,4669719.589,Breeding,496,GBIF,,,,
13082877.7,4678284.869,Breeding,497,GPS,,,,
13084488.5,4729443.968,Breeding,498,GPS,,,,
13084269.2,4764863.586,Breeding,499,GPS,,,,
13086326.38,4661125.033,Breeding,500,GPS,,,,
13086466.64,4704211.155,Breeding,501,GPS,,,,
13086740.49,4709348.841,Breeding,502,GPS,,,,
13087418.42,4710662.286,Breeding,503,GPS,,,,
13087572.04,4704610.12,Breeding,504,GPS,,,,
13088321.23,4705702.704,Breeding,505,GPS,,,,
13088543.86,4707633.606,Breeding,506,GPS,,,,
13088209.91,4710446.228,Breeding,507,GPS,,,,
13088768.73,4714924.283,Breeding,508,GPS,,,,
13089300.84,4715169.065,Breeding,509,GPS,,,,
13090703.46,4702486.78,Breeding,510,GPS,,,,
13090667.84,4702506.796,Breeding,511,GPS,,,,
13090657.82,4708901.049,Breeding,512,GPS,,,,
13092293.1,4715954.987,Breeding,513,GPS,,,,
13091535.02,4734220.129,Breeding,514,GPS,,,,
13092810.74,4698192.84,Breeding,515,GPS,,,,
13094716.53,4706210.424,Breeding,516,GPS,,,,
13092762.87,4710194.405,Breeding,517,GPS,,,,
13094007.42,4713734.808,Breeding,518,GPS,,,,
13094245.65,4715621.428,Breeding,519,GPS,,,,
13092573.63,4734653.264,Breeding,520,GPS,,,,
13093382.92,4741498.396,Breeding,521,GPS,,,,
13094722.1,4744718.115,Breeding,522,GPS,,,,
13096034.55,4636614.526,Breeding,523,GPS,,,,
13095888.72,4641893.114,Breeding,524,GPS,,,,
13097421.59,4706170.378,Breeding,525,GPS,,,,
