Lon,Lat,时间,source,
118.37766,39.05542,2021/5/30 0:00,GPS,
118.37756,39.05549,2021/5/29 22:02,GPS,
118.3782,39.05439,2021/5/29 20:02,GPS,
118.38962,39.05951,2021/5/29 10:01,GPS,
118.39645,39.05496,2021/5/29 8:01,GPS,
118.3965,39.05492,2021/5/29 6:03,GPS,
118.38986,39.05898,2021/5/29 4:01,GPS,
118.38934,39.05963,2021/5/29 2:02,GPS,
118.38969,39.05932,2021/5/29 0:01,GPS,
118.38956,39.05986,2021/5/28 20:02,GPS,
118.3893,39.05944,2021/5/28 18:01,GPS,
118.39635,39.05484,2021/5/28 16:02,GPS,
118.38953,39.05929,2021/5/28 14:02,GPS,
118.38955,39.05944,2021/5/28 6:01,GPS,
118.38944,39.05927,2021/5/28 4:01,GPS,
118.38959,39.05943,2021/5/28 2:02,GPS,
118.38969,39.0593,2021/5/28 0:01,GPS,
118.38969,39.05982,2021/5/27 18:02,GPS,
118.38945,39.0593,2021/5/27 14:02,GPS,
118.38961,39.05942,2021/5/27 10:01,GPS,
118.38927,39.05983,2021/5/27 6:01,GPS,
118.38931,39.05939,2021/5/27 4:00,GPS,
118.3959,39.05563,2021/5/27 2:01,GPS,
118.39575,39.05567,2021/5/27 0:03,GPS,
118.39012,39.0611,2021/5/26 10:01,GPS,
118.3908,39.05935,2021/5/26 8:00,GPS,
118.38935,39.05942,2021/5/26 6:00,GPS,
118.38948,39.0595,2021/5/26 4:00,GPS,
118.38673,39.02811,2021/5/25 22:01,GPS,
118.38478,39.02876,2021/5/25 20:02,GPS,
118.38822,39.06052,2021/5/25 14:02,GPS,
118.3895,39.05956,2021/5/25 8:00,GPS,
118.38919,39.05915,2021/5/25 6:01,GPS,
118.38683,39.03022,2021/5/25 4:03,GPS,
118.38684,39.02824,2021/5/24 22:01,GPS,
118.38731,39.02806,2021/5/24 20:01,GPS,
118.3896,39.05954,2021/5/24 18:02,GPS,
118.38946,39.05996,2021/5/24 16:01,GPS,
118.3903,39.05932,2021/5/24 14:02,GPS,
118.38872,39.05968,2021/5/24 10:02,GPS,
118.3896,39.05942,2021/5/24 8:01,GPS,
118.38863,39.03065,2021/5/24 6:01,GPS,
118.38824,39.03075,2021/5/24 4:00,GPS,
118.38888,39.03099,2021/5/24 2:00,GPS,
118.38883,39.03146,2021/5/24 0:01,GPS,
118.38886,39.03061,2021/5/23 22:01,GPS,
118.38977,39.0604,2021/5/23 20:01,GPS,
118.38935,39.05927,2021/5/23 18:02,GPS,
118.39014,39.05921,2021/5/23 16:01,GPS,
118.38978,39.05964,2021/5/23 14:00,GPS,
118.38979,39.05997,2021/5/23 12:00,GPS,
