Lon,Lat,时间,source,...5,X,Y
118.37066,39.05077,2021/6/9 22:00,GPS,NA,13176961.5960637,4728946.55080988
118.37332,39.04849,2021/6/9 20:02,GPS,NA,13177257.7059092,4728619.7310058
118.37364,39.04861,2021/6/9 16:03,GPS,NA,13177293.3281463,4728636.9317851
118.37347,39.049,2021/6/9 14:03,GPS,NA,13177274.4038328,4728692.83451966
118.37325,39.04901,2021/6/9 12:00,GPS,NA,13177249.9135449,4728694.26792717
118.37378,39.0479,2021/6/9 10:01,GPS,NA,13177308.912875,4728535.16093262
118.3732,39.04863,2021/6/9 8:02,GPS,NA,13177244.3475703,4728639.79858449
118.37064,39.05056,2021/6/9 6:00,GPS,NA,13176959.3696739,4728916.44854471
118.37091,39.05076,2021/6/9 4:00,GPS,NA,13176989.4259364,4728945.11736665
118.37088,39.05067,2021/6/9 2:00,GPS,NA,13176986.0863517,4728932.21638673
118.37053,39.05075,2021/6/9 0:00,GPS,NA,13176947.1245299,4728943.68392363
118.37078,39.05062,2021/6/8 22:00,GPS,NA,13176974.9544026,4728925.04918277
118.37365,39.04939,2021/6/8 20:03,GPS,NA,13177294.4413412,4728748.73756289
118.37357,39.04868,2021/6/8 14:02,GPS,NA,13177285.5357819,4728646.96558652
118.37405,39.05015,2021/6/8 12:01,GPS,NA,13177338.9691375,4728857.67771351
118.37556,39.04913,2021/6/8 8:01,GPS,NA,13177507.0615686,4728711.4688331
118.37078,39.05069,2021/6/8 6:01,GPS,NA,13176974.9544026,4728935.08326974
118.37087,39.0509,2021/6/8 4:00,GPS,NA,13176984.9731568,4728965.18559032
118.37112,39.05125,2021/6/8 2:00,GPS,NA,13177012.8030295,4729015.35632354
118.37086,39.05092,2021/6/8 0:00,GPS,NA,13176983.8599619,4728968.05248267
118.37083,39.05098,2021/6/7 22:00,GPS,NA,13176980.5203771,4728976.65316457
118.37267,39.05032,2021/6/7 20:00,GPS,NA,13177185.3482402,4728882.04606553
118.37344,39.04855,2021/6/7 18:00,GPS,NA,13177271.0642481,4728628.3313918
118.37281,39.04952,2021/6/7 16:00,GPS,NA,13177200.9329689,4728767.37197923
118.3728,39.04974,2021/6/7 14:00,GPS,NA,13177199.819774,4728798.90722348
118.37975,39.04535,2021/6/7 12:00,GPS,NA,13177973.490235,4728169.65433369
118.38208,39.04729,2021/6/7 10:00,GPS,NA,13178232.8646486,4728447.72482003
118.37106,39.05349,2021/6/7 8:00,GPS,NA,13177006.12386,4729336.45490396
118.37043,39.05758,2021/6/7 6:00,GPS,NA,13176935.9925808,4729922.77278583
118.36871,39.05034,2021/6/7 4:01,GPS,NA,13176744.5230567,4728884.91293433
118.36919,39.05025,2021/6/7 2:00,GPS,NA,13176797.9564122,4728872.01203112
118.369,39.05043,2021/6/7 0:02,GPS,NA,13176776.805709,4728897.81385397
118.36894,39.05034,2021/6/6 22:01,GPS,NA,13176770.1265396,4728884.91293433
118.37299,39.04875,2021/6/6 16:01,GPS,NA,13177220.9704773,4728656.99939789
118.37328,39.04846,2021/6/6 14:01,GPS,NA,13177253.2531296,4728615.43081554
118.37338,39.0488,2021/6/6 10:01,GPS,NA,13177264.3850787,4728664.1664121
118.3707,39.04978,2021/6/6 6:01,GPS,NA,13176966.0488433,4728804.6409148
118.36856,39.05047,2021/6/6 4:00,GPS,NA,13176727.825133,4728903.54760131
118.36871,39.05066,2021/6/6 2:00,GPS,NA,13176744.5230567,4728930.78294553
118.36878,39.05077,2021/6/6 0:00,GPS,NA,13176752.315421,4728946.55080988
118.36892,39.05042,2021/6/5 22:01,GPS,NA,13176767.9001497,4728896.38041764
118.37341,39.04866,2021/6/5 20:01,GPS,NA,13177267.7246634,4728644.0987851
118.37347,39.04852,2021/6/5 18:00,GPS,NA,13177274.4038328,4728624.03119789
