Lat,Lon,source
23.248625,120.10638,gbif
22.494017,114.04039,gbif
23.252796,120.1441,gbif
23.32689,120.170685,gbif
23.500423,120.13579,gbif
30.920507,121.97316,gbif
22.884901,120.19819,gbif
24.777422,121.805176,gbif
23.321577,120.170715,gbif
23.05447,120.10784,gbif
23.517332,120.18021,gbif
23.340738,120.16125,gbif
23.005646,120.1646,gbif
23.503532,120.12151,gbif
23.508446,120.14719,gbif
23.413721,120.18295,gbif
23.601826,120.16197,gbif
23.340738,120.16125,gbif
30.920507,121.97316,gbif
22.49418,114.03655,gbif
23.500423,120.13579,gbif
22.440409,120.494835,gbif
23.220835,120.20493,gbif
23.035835,120.166695,gbif
23.489323,120.17014,gbif
23.519913,120.17625,gbif
30.920507,121.97316,gbif
23.036715,120.0979,gbif
22.508831,114.113335,gbif
23.20552,120.10296,gbif
22.429996,120.50201,gbif
23.872429,120.29374,gbif
22.508831,114.113335,gbif
24.81403,121.80388,gbif
23.531618,120.21021,gbif
23.533644,120.19363,gbif
23.500423,120.13579,gbif
23.347021,120.18465,gbif
23.556067,120.16446,gbif
23.414711,120.1714,gbif
23.340738,120.16125,gbif
30.307709,113.84826,gbif
23.334074,120.16891,gbif
22.508831,114.113335,gbif
23.005646,120.1646,gbif
23.20552,120.10296,gbif
23.185034,120.125946,gbif
22.950788,120.17828,gbif
23.29281,120.10045,gbif
23.411898,120.19067,gbif
22.884901,120.19819,gbif
23.319883,120.15067,gbif
23.340738,120.16125,gbif
23.32382,120.12027,gbif
23.016943,120.137375,gbif
24.465052,118.305145,gbif
24.463182,118.30095,gbif
23.500423,120.13579,gbif
23.295532,120.14438,gbif
23.414322,120.16671,gbif
22.522419,114.00032,gbif
24.465052,118.305145,gbif
23.350334,120.157036,gbif
22.49418,114.03655,gbif
23.20552,120.10296,gbif
23.500423,120.13579,gbif
23.874828,120.288025,gbif
23.061407,120.099915,gbif
23.334074,120.16891,gbif
22.884901,120.19819,gbif
23.32689,120.170685,gbif
23.078522,120.18233,gbif
23.0226,120.1666,gbif
23.11722,120.10627,gbif
23.695908,120.19254,gbif
23.03494,120.114525,gbif
23.517332,120.18021,gbif
23.27518,120.10758,gbif
23.005646,120.1646,gbif
22.884382,120.20665,gbif
22.502804,114.07242,gbif
23.500145,120.16618,gbif
23.364443,120.17398,gbif
22.46942,114.030556,gbif
22.471626,120.468544,gbif
23.494173,120.15085,gbif
23.508446,120.14719,gbif
22.884901,120.19819,gbif
23.334074,120.16891,gbif
23.077324,120.060974,gbif
23.413721,120.18295,gbif
24.023167,120.37142,gbif
23.549616,120.19301,gbif
23.059254,120.14644,gbif
23.32563,120.1285,gbif
23.32689,120.170685,gbif
23.569275,120.14618,gbif
22.884901,120.19819,gbif
23.34249,120.151955,gbif
23.147072,120.10716,gbif
22.439035,120.4894,gbif
23.53657,120.18801,gbif
22.45974,114.03684,gbif
23.93702,121.60608,gbif
22.513021,114.06573,gbif
23.500423,120.13579,gbif
30.349842,103.864624,gbif
